#source http://tongwen.openfoundry.org/src/tongwen_table/phrase_s2t.txt
014E5D,019762	014E5D,019762
014E8C,019762	014E8C,019762
014EC0,019326,019762	014EC0,019326,019EB5
015200,01524A,019762	015200,01524A,019EB5
015341,019762	015341,019762
015343,015C64,019762	015343,015C64,019EB5
015403,015B8C,019762	015403,015B8C,019EB5
015403,01904E,019762	015403,01904E,019EB5
015403,019762	015403,019EB5
0158FD,019762	0158FD,019EB5
015927,015229,019762	015927,015229,019EB5
015F04,019762,015403	015F04,019EB5,015403
0162C9,019762	0162C9,019EB5
0162CC,019762	0162CC,019EB5
016392,019AA8,019762	016392,019AA8,019EB5
0163C9,019762	0163C9,019EB5
0164D4,014ED4,019762	0164D4,014ED4,019EB5
0164D4,0164D4,019762	0164D4,0164D4,019EB5
0165B9,014FBF,019762	0165B9,014FBF,019EB5
01684C,019762	01684C,019762
016CB9,019762	016CB9,019EB5
016CE1,019762	016CE1,019EB5
016DBC,019762	016DBC,019EB5
016E6F,019762	016E6F,019EB5
017092,019762	017092,019EB5
0170CF,019F8D,019762	0170CF,019F8D,019EB5
01716E,019762	01716E,019EB5
0171D9,019762	0171D9,019EB5
01725B,0167F3,019762	01725B,0167F3,019EB5
01751C,019762,0191AC	01751C,019EB5,0191AC
01751F,01529B,019762	01751F,01529B,019EB5
017897,017D20,019762	017897,017D20,019EB5
017897,019762	017897,019EB5
017D20,0198DF,019762	017D20,0198DF,019EB5
017FB9,019762	017FB9,019EB5
